w1,w2,w3,w4,w5,w6,w7,w8,w9
10.0,5.05,0.1,10.0,10.0,0.1,5.05,0.1,10.0
5.05,5.05,10.0,0.1,5.05,0.1,0.1,10.0,10.0
10.0,5.05,10.0,5.05,5.05,10.0,0.1,0.1,5.05
0.1,10.0,0.1,10.0,0.1,10.0,5.05,5.05,5.05
0.1,10.0,0.1,0.1,10.0,10.0,5.05,10.0,10.0
10.0,10.0,5.05,10.0,10.0,5.05,10.0,10.0,5.05
5.05,10.0,0.1,0.1,5.05,10.0,10.0,0.1,0.1
0.1,5.05,10.0,5.05,0.1,0.1,10.0,10.0,5.05
5.05,10.0,0.1,0.1,0.1,10.0,5.05,5.05,10.0
5.05,0.1,5.05,0.1,0.1,0.1,5.05,10.0,10.0
5.05,5.05,10.0,10.0,0.1,10.0,5.05,0.1,10.0
5.05,5.05,10.0,0.1,0.1,5.05,0.1,0.1,10.0
10.0,0.1,5.05,5.05,10.0,0.1,5.05,5.05,5.05
10.0,5.05,5.05,10.0,10.0,5.05,5.05,0.1,5.05
0.1,10.0,10.0,0.1,0.1,5.05,10.0,0.1,5.05
10.0,10.0,5.05,0.1,10.0,0.1,0.1,0.1,0.1
5.05,0.1,10.0,5.05,10.0,0.1,0.1,0.1,0.1
5.05,10.0,10.0,0.1,0.1,0.1,10.0,10.0,0.1
0.1,5.05,0.1,5.05,10.0,5.05,5.05,0.1,10.0
10.0,10.0,0.1,0.1,5.05,10.0,10.0,10.0,10.0
5.05,10.0,10.0,5.05,0.1,5.05,10.0,5.05,10.0
0.1,0.1,5.05,0.1,5.05,10.0,5.05,0.1,5.05
5.05,0.1,5.05,0.1,10.0,0.1,5.05,10.0,10.0
10.0,0.1,0.1,0.1,10.0,0.1,10.0,0.1,0.1
0.1,0.1,10.0,0.1,10.0,10.0,0.1,5.05,5.05
5.05,0.1,5.05,5.05,0.1,10.0,0.1,5.05,10.0
0.1,5.05,10.0,5.05,10.0,0.1,10.0,5.05,10.0
5.05,0.1,5.05,10.0,0.1,10.0,10.0,5.05,0.1
0.1,5.05,0.1,0.1,10.0,10.0,0.1,5.05,0.1
0.1,0.1,5.05,10.0,10.0,10.0,10.0,5.05,5.05
5.05,5.05,5.05,5.05,0.1,10.0,5.05,10.0,0.1
10.0,0.1,5.05,10.0,5.05,5.05,0.1,5.05,10.0
10.0,5.05,5.05,5.05,5.05,10.0,0.1,10.0,0.1
5.05,5.05,10.0,10.0,5.05,5.05,10.0,10.0,10.0
5.05,5.05,0.1,10.0,10.0,5.05,10.0,5.05,10.0
10.0,10.0,5.05,5.05,5.05,0.1,5.05,5.05,0.1
5.05,10.0,0.1,10.0,10.0,0.1,0.1,0.1,5.05
10.0,10.0,5.05,5.05,0.1,5.05,10.0,10.0,0.1
0.1,5.05,0.1,5.05,10.0,10.0,10.0,10.0,5.05
10.0,0.1,10.0,10.0,0.1,10.0,10.0,10.0,5.05
0.1,0.1,10.0,10.0,0.1,0.1,10.0,0.1,0.1
5.05,5.05,10.0,10.0,5.05,5.05,0.1,0.1,0.1
0.1,10.0,5.05,10.0,0.1,10.0,0.1,10.0,0.1
5.05,10.0,10.0,0.1,5.05,10.0,5.05,0.1,5.05
10.0,10.0,5.05,0.1,0.1,10.0,0.1,10.0,5.05
0.1,0.1,5.05,5.05,5.05,0.1,10.0,5.05,0.1
0.1,5.05,10.0,10.0,0.1,5.05,5.05,0.1,0.1
10.0,5.05,10.0,10.0,10.0,0.1,10.0,5.05,0.1
0.1,5.05,5.05,5.05,10.0,5.05,5.05,10.0,0.1
0.1,5.05,10.0,0.1,0.1,5.05,5.05,5.05,0.1
10.0,5.05,0.1,5.05,10.0,0.1,0.1,5.05,10.0
0.1,0.1,0.1,5.05,0.1,5.05,10.0,10.0,0.1
0.1,10.0,5.05,5.05,10.0,5.05,10.0,5.05,10.0
0.1,5.05,0.1,10.0,5.05,0.1,5.05,5.05,5.05
3.602626828627495,5.996915331485149,7.228010220194821,5.317684989426669,0.8156429215799429,5.601878039974377,4.853295998062254,0.7494861200342396,6.242968326324061
1.9633093206881744,7.468885635361723,1.812606548605944,9.159973793104852,5.224661997551945,0.7805513105674483,3.498098637872777,6.41471327823356,7.275128382558198
1.3464790373550457,9.826468631164811,1.1100357947498274,2.6205882829492477,0.5213758083085923,7.767835505929889,8.188661240776772,4.387471454076132,4.166087648537248
8.301123241959164,9.61631099342509,3.386724128308785,2.0979269053570557,9.93714332086137,9.717774744197703,8.00463437457667,7.094353900069562,3.298198669968025
0.23781234006463836,5.2261339740485075,6.358777501306697,1.6894091912041544,1.4873508774569257,0.6945119972852587,3.3250854059674175,3.240163922280434,9.848035785908076
7.741864284121542,5.770670471857381,3.847496553317899,9.587556704691734,7.45178548206098,6.7144917536119415,6.356929916087332,0.1099496478862495,3.753060824535854
8.828138451768723,0.957845523202465,3.6330298635356915,3.708649226525121,6.867536564838072,3.634110527014802,5.694329212545791,9.323094897534657,3.3456845016697923
4.714945243524546,6.173293100729862,0.3939122430227122,1.0146814990817425,8.97612555542512,8.361580787753043,0.33981465290392227,4.298099611665984,0.9920572802698573
1.049990429732436,5.286782239928983,3.2554229011821456,0.21132129568240576,6.112914100244008,3.0622471381215184,5.801460417267135,6.783691683024155,8.94741177460261
9.643760757542928,1.8605819048596126,8.592986943276973,1.4784633428182767,7.547751612799239,1.5991868543097967,0.4211005589696075,6.8667705133854176,5.746296729956017
7.342221382551947,5.624410319590719,6.930112778171144,8.702384568999099,1.8618149184808648,8.478565909378151,3.386476720375474,8.950392677913696,2.805585152638368
7.037241333576272,2.6952308383548518,9.444509479368818,6.7969809260399146,3.371305995968878,7.899346611230833,5.561151816788768,5.703214128091011,5.8841878447599685
8.848426391441235,0.45636059706392507,9.350672505448461,4.182725356101877,8.31645731069248,4.536887058823177,8.305867405866868,9.334524397508492,6.1065515451459165
4.635653781740984,6.705571409399296,1.0645337926053693,3.1635260444241267,6.638375300692804,1.4876037574776273,7.673734412266996,5.171574350119013,6.566309322671944
0.9087714877564448,9.343831528949671,9.775545180613866,8.761134579739071,3.086375356631437,4.95173593173578,2.202823107302659,0.48533987069498985,4.6210044689363174
0.1792769753074898,1.9613407176970215,1.8719620764465723,9.727594538948882,7.3832994502275335,6.617736881076141,9.71554495049508,3.134096544497402,8.38915964463891
6.537890918223005,2.5450689936611894,8.975711193522246,8.37163605849908,9.778681843580827,4.784810256192049,7.16121757855916,8.777525970327487,1.6608650843491464
7.9725110938547425,9.709916718141614,5.651444277288559,8.17335371089083,9.113223891053106,2.1305210248246356,5.1307493607392445,2.8808038037262174,4.837659346554673
7.168641993067156,9.880763915285543,1.2601790241247273,3.078453192889338,2.6688261857226045,7.6036796134133295,6.988606664788577,1.406430193026775,0.16674490213216067
0.28572211241379925,6.316523470107352,0.5567352158124795,1.1213576821756048,1.3154454046987818,5.291186819845096,4.0651309233404085,6.241457711597948,3.003170932404581
6.0071131920657965,7.246163132084531,4.9572500402982325,3.4779552904848017,9.477123366032876,5.0739688893296115,4.633179079424918,1.9477003953539673,1.4225321046069361
8.66149268200172,8.934717080585145,1.2854739850539882,4.361470220261459,2.816011279157549,8.774427159778615,3.818188983240809,6.493516543345282,8.493876724794706
5.827993997826725,6.664286351749994,8.454888373443119,9.368609050768168,2.9104754145859952,4.161815802591775,9.116083945072607,0.3623388205061284,3.835359644774989
8.947448471032569,3.2126315271704717,3.264663593714288,6.649268611483058,8.756228743221591,1.2421375850987442,9.308944363818494,3.0296058799060472,1.9463586959747157
7.198415256427796,5.0040456526622705,6.57384754959205,4.697393279513336,4.243465377421069,1.3129684836878321,5.345192425574492,3.551976483758722,8.043601540295958
1.7944727341577824,7.823267125029634,0.9926325711500141,5.472656229181703,4.384113653118531,2.356094833234009,2.854214556630069,3.9477948626766066,9.421130449120737
5.0222420984888565,9.256314432126894,0.8606048722135243,5.9651119881255195,7.6316159702045345,5.463065461907832,1.9389329143391356,2.817417690889531,4.445145509550135
0.4324540399813025,3.9438270422144055,2.2886490029950703,1.7857318616380582,1.080516522713834,8.053420122097913,0.14003875680687883,5.611737379502802,9.347883915734839
4.058297886439456,7.839673143879697,6.00718509391295,2.717878752579816,5.630874402411515,0.9398284569482173,1.5489530249316295,8.686956709203477,2.436353590248041
9.13065336428203,4.222700838193985,2.980036876739225,2.24525461315402,8.60894135104484,5.358028857691709,9.54459843212907,9.10041397011827,8.619416631749571
9.806238595601835,0.1834189997632517,3.5020280495120364,0.672343525836707,0.6017474145276007,2.474187380733203,0.24445586812070963,1.7429805202720032,2.221485200526697
0.5802094671005774,0.5168334436945008,4.672151031301491,7.552741595137663,1.3723360543694465,5.936339357508959,4.710203206668196,9.802014649350735,3.5876183299348305
2.1793622783246938,3.6133966898470318,3.5888209914952305,3.7668049650663233,6.829080774511544,8.893363747694952,7.838923675588826,8.42309445608681,5.021507824888226
5.373760542421163,2.105898047136497,5.565659693983354,1.2706760573013254,9.541689706972097,0.25098497015198684,3.725573872808422,1.4850946977497048,9.919868757352473
1.257575779246289,7.976377267862907,9.334255300981091,2.8058589153268367,6.689082069438125,2.8619442258034744,6.461974278364898,7.080177433160698,0.5704919327127066
5.665806101991749,4.899355322759901,7.142752271652889,0.42470171661488687,4.959897230994476,6.30501550845042,9.79790042863884,4.6502513667534116,9.685390275944322
7.530153209232861,5.438009321370992,7.073431275230978,7.8646183514406305,7.33594307749856,0.4485465682308124,8.614247084907877,5.287269824848616,4.972682556428767
4.132984863039319,3.268547098661064,1.5595087762940703,6.083806921645252,1.1853249171449447,3.746689282513164,7.453902387329805,1.2564736614318597,8.314950057636576
2.391951526454273,4.099270045745616,1.6157394838738666,0.2831067330946906,1.7231364364258273,7.722752324984108,6.753350265972696,7.65616415237184,1.4589994914193092
5.460814897896727,3.077954049935805,6.4277747559424725,3.652729016207617,7.143138373108118,3.2851964428113387,0.6402721077014507,3.3947256930287826,5.820779706631258
6.930733877472582,6.867504527671635,6.768198299444306,8.056883358093048,2.0675101624559,1.8475689444260517,0.9339321096301582,0.6295150371430974,1.024280541454884
0.6238991746770787,1.215918274644392,8.84388531130089,0.1156932160439167,7.898134824433846,7.126437633514921,4.542553761979823,2.934725534708092,8.518367318294814
4.581675025171898,2.910526422383553,2.7182828179243703,6.234832961645795,0.20734691138323297,6.9576268328527044,5.229593839134394,2.5958733159017027,1.894353033580375
6.767419931922161,0.40221348087815645,5.9309280284286,1.9900840592744138,2.7556551112330796,6.807099940706262,6.781060819751648,9.84990332552821,7.0020281801730135
3.360516336332546,8.286079399329754,6.748451345020009,8.482244191750368,5.703107630000867,9.30975940590695,3.182879696398677,6.725212929285186,6.0178017215306845
1.863651523745077,0.6777793631401581,8.37152101489446,4.958751703962469,3.696874288892014,6.572236170860082,8.14251054991908,8.631561408242696,7.678063635323143
8.574889947583879,8.620774630135365,4.1866073819055,8.647752130420912,0.31474452358656935,2.7109697020384953,8.692440053366546,7.544691020789976,6.322392756927519
2.5888226698421284,1.3629782371481334,5.764379421178027,3.9244765920763314,1.8143055274441506,2.342764544662754,4.202821676739465,4.806220298947321,6.000043136019398
1.3785189158082802,4.48027655260219,9.009821757392404,0.6935678389877435,0.9619646556072231,3.4263291074687787,2.0420942168318317,5.461987913315049,7.964544879482083
6.617293037266872,0.7876363391252276,6.662894900338338,9.435819988253149,0.7022791011047025,4.209109968702723,9.84449376128799,7.485184542034057,0.2121342788965329
1.5217593805082243,2.327254454933263,3.7072641078772963,0.8231090600490522,4.858584824845394,7.447020998430313,1.2057723749141465,3.8721646500006464,9.212206413751908
0.7120110666894065,8.497390210578441,4.107207371662576,9.231909393528852,4.458017150007534,9.084602176830568,1.3431734452406365,8.265228023296615,5.1217499166361335
1.620171989959684,5.511968352038723,1.5025306776653138,7.39143137938452,6.038014552716474,7.311190059498506,8.805032418175722,1.3298615075169862,0.6439918051184406
3.2785286297623037,7.522332075247399,4.564808928810716,2.5002962903868293,2.431310272195265,8.159358881651496,5.671614667244937,7.297671206097704,2.635805847022634
6.917395328538857,6.794469714264126,9.581873723065547,2.892321325965877,4.027461928854795,0.10508589318717802,2.114253403443123,3.3383161322294064,5.28801475614864
7.767924259306068,2.241305446809665,8.004424798191895,6.717008684508572,4.782575825538984,4.725925210688225,0.7672677073970814,4.716424495540194,4.753555482176604
1.4518018093319105,6.928492749279418,2.9255201688499786,2.5594861810787246,9.609491863012448,4.861091178007902,2.775559052769477,3.6292200535927335,6.8912915087796085
8.235956041297756,7.276949537526608,7.653393292799319,4.122263644048818,8.33801300266814,3.5021691202639613,1.7979895064862934,2.5683447994190285,7.178324304462293
3.4828676604132585,9.937668966751833,0.11447682866263137,7.1261656375721145,4.667925361384004,1.0182829950745336,1.048217140845269,6.1545499032396025,8.766590387334706
9.352971699766572,0.7184690458479185,5.3717954804058285,5.3971897207058195,5.043669153285009,2.013619550283644,6.035391323222611,1.1099874694674299,8.18149998416146
5.721402105296164,6.168073551143336,4.49371769124807,1.0254079252014836,2.1683280694548075,8.212763212541526,2.628348631116841,2.3644538261609793,0.8276899931673726
9.681603076376879,7.364311322675816,9.870996708137822,5.593938870864217,7.070320543282119,2.6401266528220066,9.975194543659276,1.0917922943021414,7.669590444063863
2.3432981633416174,4.576370778637507,2.6492330573158998,4.76073350405972,2.2662074923287903,5.531379251267772,5.444410765664537,4.871854324611253,9.287658895432786
9.419287478955711,1.1069074401068963,0.31470849268499157,5.587326795714082,1.524101960589578,6.201451052664374,4.5031415349668755,7.709623128034349,2.269150633862271
6.429038782483774,1.0424828467151044,8.564363453692263,8.10211540174064,9.346700500574114,8.609292657155548,1.3603847319227356,8.234033522108403,9.578836112320085
6.264628736157694,3.436149758626217,5.706051716572272,2.298658202450235,9.057510885083849,5.7081063001347925,6.506368298826785,4.0656578363421545,3.8623970610244562
4.4372677783451415,0.28037571830183255,2.766447310516502,9.877470697046524,7.705139634267463,3.1323587507247996,8.39004500798652,9.573732342439714,5.184301457637718
9.080143527990082,6.072421068128724,5.46105211569348,6.951211541432799,7.802746922697718,9.200875095583156,2.3921425081010255,9.981909687606844,3.1141083990937624
2.19673762841241,9.418842094224942,0.7526343432826066,1.5323800668017669,4.578255661802235,9.147526412576298,7.541509328907997,4.453695479007052,8.144418533797166
8.105248018874947,5.844447192307786,4.727243234048383,4.871050421831827,8.131594200064043,5.891901351230847,4.804366822648916,2.136240477668302,0.4270899842267013
3.1721702854126184,2.0313027265083363,7.8273736584243485,7.665338533810726,9.315269213433492,4.401010305947775,6.183522396987091,1.7854376286013256,9.118603818173595
6.7114310119602285,0.1563981410971882,7.732929806592386,2.0293686556612336,4.111202292850586,7.965420573338435,1.9089161588161552,7.946284933665828,9.810732155442667
6.3621743082005375,9.582808317946185,4.790085274007617,8.962284876678266,5.904024576912618,0.9044163655193306,2.2819910348939256,7.860616715601163,6.791112181829163
5.990404904237266,4.027556166465444,2.3924858010771404,8.314792003187701,2.1869364245605962,9.465925275971642,2.4300383495087545,6.305933318697906,5.536844988802801
2.956657882867089,6.345965900960283,7.3689238369540275,0.873796098103736,7.237278009259037,3.7699113163217466,0.5019617395919521,4.5304849785120345,7.109088904748256
9.219023329896832,1.3342835157274942,6.323215173083153,9.082326631547657,3.453941288574362,6.9105105900429695,4.421384331042864,8.127261003353755,5.492876793933855
3.7177323879898334,3.8071828360779634,4.900829146824539,8.91720467045201,4.751448659111813,6.409680996354403,9.624254201932283,5.4144910283476015,1.1033010060162667
2.4559229121367343,8.385731508233654,8.78225428723126,9.966609051553041,9.848585450102645,3.8641290105154944,6.3374270782242546,1.5323350583084423,6.6807943883366425
9.310810431656096,5.399557565032497,5.015595567632236,1.2265956753753595,0.36067952856159535,0.3930255948525926,3.6389194604715147,0.32301646642782367,0.46644175053739134
3.5264341395653074,8.745527046208831,1.413538181761275,1.6780790247674142,5.28423772252473,1.5188586670418724,4.293142025088128,5.848482430169785,7.546660947875598
9.92540289031315,1.758209264410642,7.461495403804181,6.379231065226355,8.83656036596983,9.984594340136592,0.7556201530298413,8.345660840514574,4.229219275630995
2.818053430996793,7.716527207459101,6.223259699014939,5.025014453582317,6.258198725766761,8.335452788859605,2.946381191006396,1.9073457109654888,2.8630117914076507
5.864267014814335,5.09177339882452,5.264910855233306,3.300100968633798,3.5884687244952396,1.9443136380386767,7.944183346485471,5.938309799193178,6.443919673683018
5.280214906797297,1.614272262722567,9.13617227163954,4.6590194154601186,6.210194914258119,9.572433079858172,1.48579291137037,8.848450689787164,1.2278490338895358
2.607323299271895,4.796134421783666,2.24045756637592,9.580928401847485,6.944210196946208,3.939047467241457,8.437029281992602,6.039975451875908,0.7196147410496113
3.0593067497287327,1.5169167099773904,2.4698638452966852,0.5339384094446535,7.932176570369412,6.055051859654494,9.442808578598106,2.193242446072143,5.5916909413393325
4.2071523849708115,2.611332635432045,8.308039817273325,7.9600573591279025,2.0061494190202964,6.453229852015615,1.7054076095614568,7.8104705260967595,4.851264863301195
1.7227368790738185,1.4670938030046046,0.6651813139850058,9.257560756467807,5.9563931779456984,1.8194595701222678,7.659327680618994,5.01378667347604,7.873841033263142
2.0875440951313364,9.204377833449877,3.030816743707822,6.4992467542515575,0.47492089924004477,4.641594659148104,7.292493738475999,2.047637920442256,2.395940257290276
8.471703649479089,2.839451267451867,1.9752643460335562,5.150125875064748,8.438748626881628,7.361323097765215,9.022199722895593,1.6032855899755785,8.896359249733106
4.839685307386957,1.7754238094258963,5.202741824819605,2.370598588194269,0.8942469640570198,9.763330142988199,3.5371525367849044,9.190108055946455,8.751157172247717
3.8939600421318254,7.657628342597979,7.849014171156066,7.256861572090168,3.9785845798279906,1.3911203913246288,0.536057213276736,8.556084172676814,4.089680927874511
8.075556202710466,6.513675328427217,0.45127139913523673,7.693592427007139,3.9246251907702767,3.5155161154240875,1.1285082086196923,0.76680913894656,9.008530640468992
4.368174653757748,5.059973666143699,3.177572729326963,1.852515177236371,8.510368807494356,2.5264441783695477,7.02654310366849,2.436291636654315,1.3282121172231138
2.8823903975611955,2.497586454618652,8.703772960162066,4.451308808582939,8.005243641728171,0.3468941333808072,3.1674305758355885,5.20000680308456,4.3563676688340225
8.673304463865705,8.03752858084431,8.244426503669528,1.3682667414363676,5.795035023390196,6.17148714514145,1.6418811876966273,6.516229188092037,5.341513435399237
3.9851392323705976,8.83915915796937,7.336071647530889,4.001649052464437,1.1087576008688393,1.6879986480535483,7.338756427480592,4.941223116788185,4.5414327693425
0.4690685717019005,9.126058233312895,8.114241845680041,4.555429529536807,8.688282702430836,4.043238019675487,8.530140469904612,9.650605879347548,0.30331103960200023
6.150186651659986,3.4175118959874875,9.976417264604184,7.490248876452109,4.298941467459546,7.206041917561597,5.062743933375669,0.5724805544497987,6.6394276837578
7.444564843826269,9.030930453769972,3.8324806580345494,5.882790139603018,5.396628738336315,2.243094286653342,9.219818237616218,9.042016368107646,2.545486159179907
7.906770746409131,4.6530461297040615,9.674889372821685,7.823455043496819,1.6249910655142927,9.603554152833794,5.331579392882139,7.1782029397911105,1.7270834432199609
3.234522223203211,7.120320201357773,2.5313442929966556,6.551713207958191,8.237566279150622,7.576070620036566,5.001376582287125,6.9866323077333625,7.4073588806950825
5.18152032501623,7.056943087183309,4.36697136269737,6.259919778622843,5.532839031765585,3.2204534813788683,9.38903537204473,9.712710520724256,3.505103361771357
0.9982268630601685,4.75241173119362,4.322799942032918,7.233302579641309,9.249323598386217,8.946819294941147,4.137349772612169,2.296925332470638,7.038812531839111
4.96166743656327,0.91010939891839,5.110699127846034,6.885367405519629,6.435373185270098,4.442036350830677,6.65710237929099,3.8413101885388583,2.072988718367976
7.638533131886748,8.77184682401326,2.0220229994927994,7.027988934235273,5.156715163124709,8.675837461558137,6.162299480990102,6.652741168425486,2.710258016958268
1.1069075970402844,8.524142833613547,7.93976969928239,9.798944544880626,9.74750280701791,2.9550647376708645,9.000097226475033,2.698095684889339,2.1136080229822505
3.7830393579950843,8.251774345911551,0.1910427136104092,4.329138868204785,2.9954152900995075,5.155019690987591,6.844299863253686,5.5244607595088375,3.9488130571338784
4.283208525808444,4.329261265440317,7.579352477570618,5.691927855275176,3.2790711194817077,0.5205761867354416,5.931872286072818,3.717944578121362,4.302645621058174
8.36344088883693,2.3545353293470592,5.888067559805693,3.0064792491297987,3.259574310179992,4.318702678182409,5.851863764849376,5.824321857031267,7.4302982011496
5.155815333053736,3.7080912181447014,4.030672208636425,5.757297882301504,3.6669660880694237,9.907305244935472,8.909969999731278,7.414019535144551,3.6236908810026414
0.7679430271368034,3.8723628588273997,6.159310576098887,8.5485892221098,3.121555735734522,0.6174644270417546,3.026602008014397,8.037577306156388,6.373788126967217
9.578604510618302,4.391831357694794,3.949722867649635,4.086771899176883,5.493640868987541,7.01554406586882,0.9185158280965722,0.9190410210038583,0.9063540449767559
2.7162121764691936,2.997611777884972,6.861447986895739,3.5291562414829736,3.8067978200554387,1.1241201546163724,2.551185388854336,0.2085131910021425,1.5466232125358166
6.246649382582168,8.142272333004025,9.249559229719956,3.381196240854672,0.14147372214259155,9.416973559362384,7.203455049881107,0.955878138094113,9.626728905432024
4.867638145851466,3.105255840906218,1.7529054371902857,3.22693917869669,6.577613530336353,8.508510399375782,3.970280369697943,9.420808327364677,3.086477408525574
7.330575992373556,5.738087049824318,0.8397170661967738,0.4487960129399228,6.382438880764294,5.779044377032427,7.825645136650227,4.215261725126196,3.2236938330838263
5.571979431233606,6.475339290504734,9.637470378737266,6.09797536186948,2.5625744765908047,5.212684633141308,3.915762146354654,4.136496398772442,7.824453904504442
9.870208231620538,3.58947530084331,2.10245608771472,5.200942013447927,2.401496530102031,2.79989275753275,2.7238689921358348,3.492224613718396,1.7673164613085772
